Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Algorand,https://www.crunchbase.com/funding_round/algorand-series-unknown--ca7010c8,Algorand,https://www.crunchbase.com/organization/algorand,Venture - Series Unknown,62000000,USD,62000000,2018-10-24
Series D - DataRobot,https://www.crunchbase.com/funding_round/datarobot-series-d--97419575,DataRobot,https://www.crunchbase.com/organization/datarobot,Series D,100000000,USD,100000000,2018-10-24
Venture Round - Fresenius Medical Care Secaucus,https://www.crunchbase.com/funding_round/fresenius-medical-care-secaucus-series-unknown--12096b6f,Fresenius Medical Care Secaucus,https://www.crunchbase.com/organization/fresenius-medical-care-secaucus,Venture - Series Unknown,3662000,USD,3662000,2018-10-29
Pre Seed Round - 14bis Supply Tracking,https://www.crunchbase.com/funding_round/safeflights-inc-pre-seed--1ef1f74e,14bis Supply Tracking,https://www.crunchbase.com/organization/safeflights-inc,Pre-Seed,100000,USD,100000,2018-11-01
Series B - TakeOff,https://www.crunchbase.com/funding_round/takeoff-technologies-series-b--b9b89414,TakeOff,https://www.crunchbase.com/organization/takeoff-technologies,Series B,20520000,USD,20520000,2018-11-01
Series A - IntelyCare,https://www.crunchbase.com/funding_round/intelycare-series-a--21d9e012,IntelyCare,https://www.crunchbase.com/organization/intelycare,Series A,10800000,USD,10800000,2018-11-01
Grant - Massachusetts Institute of Technology - MIT,https://www.crunchbase.com/funding_round/massachusetts-institute-of-technology-mit-grant--df4a8161,Massachusetts Institute of Technology - MIT,https://www.crunchbase.com/organization/massachusetts-institute-of-technology-mit,Grant,350000000,USD,350000000,2018-11-02
Venture Round - Fresenius Medical Care North America,https://www.crunchbase.com/funding_round/fresenius-medical-care-north-america-series-unknown--3f320628,Fresenius Medical Care North America,https://www.crunchbase.com/organization/fresenius-medical-care-north-america,Venture - Series Unknown,3373380,USD,3373380,2018-11-05
Venture Round - Rize Inc.,https://www.crunchbase.com/funding_round/rize-inc-series-unknown--14ab9e59,Rize Inc.,https://www.crunchbase.com/organization/rize-inc,Venture - Series Unknown,10049000,USD,10049000,2018-11-07
Seed Round - UrSure,https://www.crunchbase.com/funding_round/ursure-seed--afd2204b,UrSure,https://www.crunchbase.com/organization/ursure,Seed,865000,USD,865000,2018-11-08
Venture Round - Inozyme,https://www.crunchbase.com/funding_round/inozyme-series-unknown--0644324f,Inozyme,https://www.crunchbase.com/organization/inozyme,Venture - Series Unknown,10699000,USD,10699000,2018-11-09
Venture Round - Geode Therapeutics,https://www.crunchbase.com/funding_round/geode-therapeutics-series-unknown--a0824114,Geode Therapeutics,https://www.crunchbase.com/organization/geode-therapeutics,Venture - Series Unknown,5250000,USD,5250000,2018-11-09
Series B - Kymera Therapeutics,https://www.crunchbase.com/funding_round/kymera-therapeutics-series-b--baf250a2,Kymera Therapeutics,https://www.crunchbase.com/organization/kymera-therapeutics,Series B,65000000,USD,65000000,2018-11-13
Venture Round - Waveguide,https://www.crunchbase.com/funding_round/waveguide-series-unknown--98fb270d,Waveguide,https://www.crunchbase.com/organization/waveguide,Venture - Series Unknown,3431000,USD,3431000,2018-11-14
Series A - CHAOSSEARCH,https://www.crunchbase.com/funding_round/chaossearch-series-a--afd32feb,CHAOSSEARCH,https://www.crunchbase.com/organization/chaossearch,Series A,9000000,USD,9000000,2018-11-14
Seed Round - DUST Identity,https://www.crunchbase.com/funding_round/dust-identity-seed--dfb4e5d5,DUST Identity,https://www.crunchbase.com/organization/dust-identity,Seed,2300000,USD,2300000,2018-11-14
Series A - Botkeeper,https://www.crunchbase.com/funding_round/botkeeper-series-a--c6f48aa1,Botkeeper,https://www.crunchbase.com/organization/botkeeper,Series A,18000000,USD,18000000,2018-11-19
Seed Round - PharmaCCX,https://www.crunchbase.com/funding_round/pharmaccx-seed--56864a72,PharmaCCX,https://www.crunchbase.com/organization/pharmaccx,Seed,3000000,USD,3000000,2018-11-20
Series B - Rize Inc.,https://www.crunchbase.com/funding_round/rize-inc-series-b--2f6ab742,Rize Inc.,https://www.crunchbase.com/organization/rize-inc,Series B,10000000,USD,10000000,2018-11-21
Post-IPO Equity - TILT,https://www.crunchbase.com/funding_round/tilt-holdings-post-ipo-equity--1fcc574a,TILT,https://www.crunchbase.com/organization/tilt-holdings,Post-IPO Equity,119000000,USD,119000000,2018-11-21
Seed Round - Freedom Center of Troy,https://www.crunchbase.com/funding_round/freedom-center-of-troy-seed--54ddccee,Freedom Center of Troy,https://www.crunchbase.com/organization/freedom-center-of-troy,Seed,865000,USD,865000,2018-11-21
Series A - Corvus Insurance,https://www.crunchbase.com/funding_round/corvus-insurance-series-a--018d8215,Corvus Insurance,https://www.crunchbase.com/organization/corvus-insurance,Series A,10000000,USD,10000000,2018-11-26
Grant - Massachusetts General Hospital,https://www.crunchbase.com/funding_round/massachusetts-general-hospital-grant--284aa240,Massachusetts General Hospital,https://www.crunchbase.com/organization/massachusetts-general-hospital,Grant,40000000,USD,40000000,2018-11-29
Seed Round - Canvas GFX,https://www.crunchbase.com/funding_round/canvas-gfx-seed--47595637,Canvas GFX,https://www.crunchbase.com/organization/canvas-gfx,Seed,300000,USD,300000,2018-12-05
Series A - Forge.AI,https://www.crunchbase.com/funding_round/forge-ai-series-a--92f52791,Forge.AI,https://www.crunchbase.com/organization/forge-ai,Series A,11000000,USD,11000000,2018-12-06
Series A - Black Diamond Therapeutics,https://www.crunchbase.com/funding_round/black-diamond-therapeutics-series-a--a28ea8e6,Black Diamond Therapeutics,https://www.crunchbase.com/organization/black-diamond-therapeutics,Series A,20000000,USD,20000000,2018-12-12
Venture Round - Medford Surgery Center,https://www.crunchbase.com/funding_round/medford-surgery-center-series-unknown--c749f854,Medford Surgery Center,https://www.crunchbase.com/organization/medford-surgery-center,Venture - Series Unknown,1350000,USD,1350000,2018-12-12
Grant - Boston Medical Center,https://www.crunchbase.com/funding_round/boston-medical-center-grant--bf79e403,Boston Medical Center,https://www.crunchbase.com/organization/boston-medical-center,Grant,25000,USD,25000,2018-12-14
Convertible Note - Powerhouse Dynamics,https://www.crunchbase.com/funding_round/powerhouse-dynamics-convertible-note--77b3e225,Powerhouse Dynamics,https://www.crunchbase.com/organization/powerhouse-dynamics,Convertible Note,,,,2018-12-17
Series B - RightHand Robotics,https://www.crunchbase.com/funding_round/righthand-robotics-series-b--37d281a5,RightHand Robotics,https://www.crunchbase.com/organization/righthand-robotics,Series B,23000000,USD,23000000,2018-12-17
Series A - Entrada Therapeutics,https://www.crunchbase.com/funding_round/entrada-therapeutics-series-a--30f7495e,Entrada Therapeutics,https://www.crunchbase.com/organization/entrada-therapeutics,Series A,59000000,USD,59000000,2018-12-18
Seed Round - QMedic,https://www.crunchbase.com/funding_round/qmedic-seed--e2a79bd5,QMedic,https://www.crunchbase.com/organization/qmedic,Seed,1000000,USD,1000000,2018-12-20
Seed Round - Cumulus Digital Systems,https://www.crunchbase.com/funding_round/cumulus-digital-systems-seed--fbebb572,Cumulus Digital Systems,https://www.crunchbase.com/organization/cumulus-digital-systems,Seed,4500000,USD,4500000,2018-12-20
Series C - Vedanta Biosciences,https://www.crunchbase.com/funding_round/vedanta-biosciences-series-c--b4521423,Vedanta Biosciences,https://www.crunchbase.com/organization/vedanta-biosciences,Series C,45394519,USD,45394519,2018-12-24
Pre Seed Round - Stock Market Sensei,https://www.crunchbase.com/funding_round/stock-market-sensei-pre-seed--455027dc,Stock Market Sensei,https://www.crunchbase.com/organization/stock-market-sensei,Pre-Seed,,,,2018-12-30
Seed Round - Stability Health,https://www.crunchbase.com/funding_round/stability-health-seed--e6df7e5b,Stability Health,https://www.crunchbase.com/organization/stability-health,Seed,2500000,USD,2500000,2018-12-31
Grant - Cambridge Mechatronics,https://www.crunchbase.com/funding_round/cambridge-mechatronics-grant--c41c563a,Cambridge Mechatronics,https://www.crunchbase.com/organization/cambridge-mechatronics,Grant,71429,EUR,81868,2019-01-01
Grant - ConquerX,https://www.crunchbase.com/funding_round/conquerX-grant--65c33109,ConquerX,https://www.crunchbase.com/organization/conquerX,Grant,71429,EUR,81868,2019-01-01
Private Equity Round - The Learning Corp,https://www.crunchbase.com/funding_round/constant-therapy-private-equity--b255103e,The Learning Corp,https://www.crunchbase.com/organization/constant-therapy,Private Equity,27300000,USD,27300000,2019-01-01
Series A - Prospective Research,https://www.crunchbase.com/funding_round/prospective-research-series-a--34a5f52a,Prospective Research,https://www.crunchbase.com/organization/prospective-research,Series A,1700000,USD,1700000,2019-01-01
Pre Seed Round - Cascade.bio,https://www.crunchbase.com/funding_round/cascade-bio-pre-seed--e225d0d8,Cascade.bio,https://www.crunchbase.com/organization/cascade-bio,Pre-Seed,,,,2019-01-01
Series B - Candel,https://www.crunchbase.com/funding_round/advantagene-series-b--956645ed,Candel,https://www.crunchbase.com/organization/advantagene,Series B,28700000,USD,28700000,2019-01-04
Series C - Sojournix,https://www.crunchbase.com/funding_round/sojournix-series-c--272f0f1b,Sojournix,https://www.crunchbase.com/organization/sojournix,Series C,44000000,USD,44000000,2019-01-04
Series B - Frequency Therapeutics,https://www.crunchbase.com/funding_round/frequency-therapeutics-series-b--d7900899,Frequency Therapeutics,https://www.crunchbase.com/organization/frequency-therapeutics,Series B,42000000,USD,42000000,2019-01-07
Series B - Tidelift,https://www.crunchbase.com/funding_round/tidelift-series-b--b4648039,Tidelift,https://www.crunchbase.com/organization/tidelift,Series B,25000000,USD,25000000,2019-01-07
Series B - Black Diamond Therapeutics,https://www.crunchbase.com/funding_round/black-diamond-therapeutics-series-b--28746fb3,Black Diamond Therapeutics,https://www.crunchbase.com/organization/black-diamond-therapeutics,Series B,85000000,USD,85000000,2019-01-09
Venture Round - LaunchPad Medical,https://www.crunchbase.com/funding_round/launchpad-medical-series-unknown--d7c2e592,LaunchPad Medical,https://www.crunchbase.com/organization/launchpad-medical,Venture - Series Unknown,8500000,USD,8500000,2019-01-10
Grant - Tor Project,https://www.crunchbase.com/funding_round/tor-grant--224f64b9,Tor Project,https://www.crunchbase.com/organization/tor,Grant,460000,USD,460000,2019-01-11
Series A - First Light Diagnostics,https://www.crunchbase.com/funding_round/first-light-biosciences-series-a--0e6a7819,First Light Diagnostics,https://www.crunchbase.com/organization/first-light-biosciences,Series A,8250000,USD,8250000,2019-01-16
Grant - Aquinnah Pharmaceuticals,https://www.crunchbase.com/funding_round/aquinnah-pharmaceuticals-grant--43659f85,Aquinnah Pharmaceuticals,https://www.crunchbase.com/organization/aquinnah-pharmaceuticals,Grant,750000,USD,750000,2019-01-17
Venture Round - Windgap Medical,https://www.crunchbase.com/funding_round/windgap-medical-series-unknown--c2a7b6e6,Windgap Medical,https://www.crunchbase.com/organization/windgap-medical,Venture - Series Unknown,12151193,USD,12151193,2019-01-17
Grant - University of Massachusetts Medical School,https://www.crunchbase.com/funding_round/university-of-massachusetts-medical-school-grant--aeadab49,University of Massachusetts Medical School,https://www.crunchbase.com/organization/university-of-massachusetts-medical-school,Grant,161000000,USD,161000000,2019-01-23
Corporate Round - Windgap Medical,https://www.crunchbase.com/funding_round/windgap-medical-corporate-round--16d9fb52,Windgap Medical,https://www.crunchbase.com/organization/windgap-medical,Corporate Round,,,,2019-01-25
Seed Round - AirWorks,https://www.crunchbase.com/funding_round/airworks-seed--c331ec9d,AirWorks,https://www.crunchbase.com/organization/airworks,Seed,2300000,USD,2300000,2019-01-25
Series A - Carbon Relay,https://www.crunchbase.com/funding_round/carbon-relay-series-a--3eb17efb,Carbon Relay,https://www.crunchbase.com/organization/carbon-relay,Series A,5000000,USD,5000000,2019-01-29
Series A - Dewpoint Therapeutics,https://www.crunchbase.com/funding_round/dewpoint-therapeutics-series-a--aac46ca0,Dewpoint Therapeutics,https://www.crunchbase.com/organization/dewpoint-therapeutics,Series A,60000000,USD,60000000,2019-01-30
Grant - MassChallenge,https://www.crunchbase.com/funding_round/masschallenge-grant--d0d2b9bd,MassChallenge,https://www.crunchbase.com/organization/masschallenge,Grant,2500000,USD,2500000,2019-01-30
Seed Round - Breiter Planet Properties,https://www.crunchbase.com/funding_round/breiter-planet-properties-seed--ff4488b5,Breiter Planet Properties,https://www.crunchbase.com/organization/breiter-planet-properties,Seed,,,,2019-02-01
Angel Round - WorkAround,https://www.crunchbase.com/funding_round/workaround-2944-angel--e9ceb7fa,WorkAround,https://www.crunchbase.com/organization/workaround-2944,Angel,,,,2019-02-01
Pre Seed Round - LuminDx,https://www.crunchbase.com/funding_round/lumindx-pre-seed--26fa217a,LuminDx,https://www.crunchbase.com/organization/lumindx,Pre-Seed,,,,2019-02-04
Pre Seed Round - UptimeHealth,https://www.crunchbase.com/funding_round/uptimehealth-pre-seed--40cb61b2,UptimeHealth,https://www.crunchbase.com/organization/uptimehealth,Pre-Seed,,,,2019-02-04
Private Equity Round - Quick Base,https://www.crunchbase.com/funding_round/quickbase-private-equity--7cd9652e,Quick Base,https://www.crunchbase.com/organization/quickbase,Private Equity,,,,2019-02-05
Pre Seed Round - Polaris Mobility,https://www.crunchbase.com/funding_round/polaris-mobility-pre-seed--3f64d168,Polaris Mobility,https://www.crunchbase.com/organization/polaris-mobility,Pre-Seed,765000,USD,765000,2019-02-05
Private Equity Round - eCare Vault,https://www.crunchbase.com/funding_round/ecare-vault-private-equity--dc5202d1,eCare Vault,https://www.crunchbase.com/organization/ecare-vault,Private Equity,,,,2019-02-07
Series B - Vicarious Surgical,https://www.crunchbase.com/funding_round/vicarious-surgical-series-b--d33a13ea,Vicarious Surgical,https://www.crunchbase.com/organization/vicarious-surgical,Series B,10000000,USD,10000000,2019-02-14
"Pre Seed Round - SmileML, Inc.",https://www.crunchbase.com/funding_round/smileml-inc-pre-seed--b75c0ce5,"SmileML, Inc.",https://www.crunchbase.com/organization/smileml-inc,Pre-Seed,120000,USD,120000,2019-02-16
Grant - Cortico,https://www.crunchbase.com/funding_round/cortico-grant--ac5df156,Cortico,https://www.crunchbase.com/organization/cortico,Grant,2000000,USD,2000000,2019-02-19
Angel Round - ThinkGenetic,https://www.crunchbase.com/funding_round/thinkgenetic-angel--5962a11c,ThinkGenetic,https://www.crunchbase.com/organization/thinkgenetic,Angel,1500000,USD,1500000,2019-02-19
Venture Round - Nasuni,https://www.crunchbase.com/funding_round/nasuni-series-unknown--be9b33de,Nasuni,https://www.crunchbase.com/organization/nasuni,Venture - Series Unknown,25000000,USD,25000000,2019-02-19
Series B - Axial Biotherapeutics,https://www.crunchbase.com/funding_round/axial-biotherapeutics-series-b--ce5ae247,Axial Biotherapeutics,https://www.crunchbase.com/organization/axial-biotherapeutics,Series B,25000000,USD,25000000,2019-02-27
"Pre Seed Round - IndustrialML, Inc.",https://www.crunchbase.com/funding_round/industrialml-inc-pre-seed--ea0dba55,"IndustrialML, Inc.",https://www.crunchbase.com/organization/industrialml-inc,Pre-Seed,,,,2019-03-01
Seed Round - n-Powered,https://www.crunchbase.com/funding_round/n-powered-seed--eaa1abc3,n-Powered,https://www.crunchbase.com/organization/n-powered,Seed,750000,USD,750000,2019-03-01
